id,body,actor,reply,time
85,"Police are terrorists and we should treat them like such!! We need to fight fire with fire! For each one of ours they take, we need to take one of theres! Let's see how fast thinkgs change then!!!",KeithWayson,89,-6:07:12
86,Racism is not okay. Racism is never okay. ,Hanz,89,-14:57:45
87,"So great to see such a diverse protest. Black, white, men, women, old, young. Black lives matter.",casssssssssie,90,-18:00:17
88,SILENCE IS VIOLENCE. We must shout loud until our voices are heard. ,Sue_S,91,-0:30:33
89,"Honestly though, I kind of don't see the point. The police literally get away with murder. This is such a waste of time. ",Jcole9,91,-0:08:34
90,This is so powerful. Beautiful so many people peacefully protesting in the rain. Standing strong and standing proud. We can make a difference. ,PatelS,93,-77:52:11
91,"I get why you're protesting, and I'm fully behind you, but this protest literally went on for 12 hours. I was trying to work and it was so loud. I feel like it would have been more considerate if you moved on. ",Thelma77,93,-76:13:12
92,SILENCE IS VIOLENCE. PROTESTS ARE NOISE. WE MUST SHOUT UNTIL WE ARE HEARD. UNTIL THEY LISTEN. ,localewis,95,-0:22:21
93,I hope you threw that firework at the police officers - they deserve it! ,mariaann,96,-1:03:12
94,Violence is never the answer. Our message speaks for itself. Violence just undermines the cause. ,MedicalRyan,96,-0:32:51
95,This is beautiful. I've been in protests like this before where there is just so much passion but everyone is just calm and committed. I hate protests that get violent. This is the way. ,ryangg,97,-53:42:19
96,This is so inspiring! This is sending such a strong message to the government. We will not stand for racism. There is real power in numbers and I'm so proud of all the people who gave up their time to stand for such a noble cause. ,MedicalRyan,98,-14:44:40
97,Peaceful protests are such a waste of time though. The only way the government will ever hear us is if we fight fire with fire. I'm so sick of being profiled in the street by stupid bloody police officers. And I'm so sick of these stupid protests that achieve f all ,Brian1212,98,-10:31:22
98,"Peaceful protests like this are great. Everyone there with their own sign, their own reasons just coming together for such a virtuous cause. I love it. ",BeardedMatt,100,-5:25:22
99,This is so fucking powerful! So many people against racism. Fuck the racists. Fuck the far right!! ,BeardedMatt,102,-00:01
100,"We should never stop bending the knee. Footballers, protesters. It sends such a powerful message.",Lisa181818,104,-0:10:12
101,Worse part about protests :train delays. I missed my daughters piano recital because of this protest.,karenM,105,-0:12:10
102,Yeah I was late for work for 2 hourz once because of one of these protests!!! Protests like this don't even change anything!!! ,Jcole9,105,-0:09:32
103,Who puts their twitter handle on their protest sign? I swear these millenials just like to moan about everything.,Harold_ff,107,-13:20:28
104,That's kinda scary tbh,this_jack,108,-11:54:21
105,The suffragettes didn't just stand there with signs though did they. They took proper action. ,mariaann,109,-35:42:12
106,Peaceful protests are the best way to bring about change. We must save the right to protest!!,KatieeeM,109,-15:16:17
107,What a cracking poster! I'm so glad she's not in control of our democracy anymore!,EmmaSmith0214,110,-1:02:00
108,Protest is the best way to bring about change! The government trying to imprison people for protesting is ridiculous!,DonDonDonna,111,-00:00:21
109,I'm so sick of the saying boys will be boys! Women are held to such a higher standard than men. We need to stop violence against women. Stand up for our rights!,LucieLoo,112,-0:0:59
110,Not all cops are bad!!,M.Kapadia92,114,-21:12:21
111,Yeah but most are. The system is riggered against black people and women #IAmSarah,lavenderrrrrr,114,-4:36:31
112,"If you want justice, you've gotta fight for it. Can't just sit there waiting for the wolrd to change. ",Brian1212,116,-30:38:55
113,Great signs. Nothing more powerful than a well written sign at a protest!! Great job girls x,Sue_S,117,-4:54:19
114,"Yeah the power of the people is stronger than those in power, but only if those people can get to their bloody jobs! I spent 2 hours stuck in traffic because of protests yesterday! Can you please stop protesting in the middle of the week when some of us have to work!?",Thelma77,118,-55:54:31
115,Go on then - what have you got to say? What a bloody pointless sign,Thelma77,121,-7:03:17
116,97% is such a ridiculous number. Proud of you for getting out there and standing up for what you believe in. ,casssssssssie,123,-3:16:11
117,Clearly you have the freedom to protest lol?,FreddieBoy,124,-1:13:11
118,Was this the protest in Bristol that turned into a riot?,PatelS,125,-4:59:01
119,HELL YEAH! ✊✊,mariaann,125,-0:06:31
120,Think of all those people on that poor bus in the background. These entitled millenials are just disrupting innocent people trying to go about their lives. So inconsiderate,Harold_ff,126,-0:14:13
121,No one! We're just sitting ducks waiting to be tasered. We need to get armed. ,Brian1212,128,-1:23:22
122,Such powerful words. Really makes you think. ,jackrussellmom,129,-2:12:12
123,People have so much power when they come together like this. It is beautiful to see. ,DonDonDonna,131,-2:16:36
124,Do they though? The police bill got passed in parliament though making this a complete waste of time… ,Lilyann_391,131,-0:28:35
125,Protests are okay sometimes - but when it's people glueing themselves to roads or holding up traffic it's so annoying,Maise12,134,-2:17:41
126,Sometimes violence is the answer… ,KeithWayson,134,-0:17:37
127,What is this table? What does that mean?,john73,139,-0:07:00
128,I think it's about bringing people to the table of power. We need to stand up for ourselves and let our voices be heard. ,jupiterpride,139,-0:01:00
129,Why are the police in a line like that? ,Carter_Y,140,-0:38:12
130,At least they aren't kettling people like before. Scum. ,SamTHEMAN,140,-0:14:52
131,What's kettling?,Carter_Y,140,-0:5:28
132,Where they like surround people and break them off from their friends and then don't let them out. I've seen them do this at peaceful protests! Absolute scum. Them standing there with their tasers whilst we're just weak and powerless.,SamTHEMAN,140,-0:0:53
133,These protests were so inspiring! Millions of people coming together for this cause is so powerful. ,Carter_Y,141,-0:17:28
134,We must all stand together. White. Black. Young. Old. It is the only way we can make a difference. ,livelaughlove,144,-0:05:12
135,Eurgh protests are such a waste of time. Changes nothing. ,Lilyann_391,144,-0:0:34
136,You can finally see the power that we have as citizens when people come together for important causes like this. #BLM,MannyDL34,146,-28:12:12
137,"I'm not sure what is worse, protests or strikes? Both are just so disruptive to normal working people's lives. Why don't you go take your protests to where all the rich people live. ",Jcole9,147,-0:2:04
138,Seeing crowds like this make me so happy! ,EmmaSmith0214,148,-2:10:11
139,Yeah until they're outside your house 🤣 I had a big interview yesterday and protests like these meant I could barely hear myself think!!,M.Kapadia92,148,-1:09:12
140,This is so fucking cool. Look at how many people there are!!! POWER ✊✊,MedicalRyan,149,-1:45:17
141,I wouldn't want to live in those flats lol. Bet this caused a raquet. Protests are so disruptive. ,John_Dessier,150,-1:11:11
142,This is beautiful. So many people. Such an important cause. Peaceful protests are so inspiring. ,MedicalRyan,152,-2:19:12
143,OMG that is unreal. Look at them brandishing their weapons. PIGS. Is that a sniper on the right!?? I can't believe people think peaceful protests are how we beat this scum. We need to use force. ,KeithWayson,156,-10:30:19
144,This is a neat photo. There really is power in numbers. ,MedicalRyan,158,-47:21:12
145,Incredible to see so many people standing up for such a just cause. #BLM only wish I could have been there myself. ,Smitty12,159,-1:01:01
146,Omg imagine trying to drive through that!!,MedicalRyan,161,-0:23:13
147,Was that the police???,SamTHEMAN,161,-0:03:22
148,Nah it was probably just some poor soul trying to get to work! Protests can be so disruptive. ,karenM,161,-0:01:11
149,Be the change you want to see In the world - stop sitting around just holding signs and actually go out there and bloody make a difference,mariaann,163,-28:29:52
150,Was this why that gig was cancelled?,thisisalfie1998,166,-17:18:19
151,Yeah there were protesters surrounding the stadium,Smitty12,166,-17:09:51
152,"Again, just the average person who suffers because of these protests. Ffs",Jcole9,166,-12:14:58
153,Look at them all dressed up in riot gear! Next time we should actually have a riot rather than a peaceful protest! If you're gonna treat us like criminals we'll bloody well act like 'em!!!,TimBJenkins,170,-27:22:12
154,I think I sat in that damn traffic jam for like 20 minutes,thisisalfie1998,180,-09:53:12
155,It doesn’t seem much to ask… ,Ataylor,185,-46:48:12
156,This is such a cool photo! üî• ,lavenderrrrrr,301,-0:00:12
157,FUCK THE POLICE!! ,KeithWayson,301,-0:00:3
158,Peaceful protests are so pointless!!! This is the way! YOU GO GIRL,Sharon111,302,-03:12:12
159,Violence is the answer. Always. ,KeithWayson,303,-8:12:34
160,The system deserves to be abused. I'm sick of living in this dictatorship. We must fight back HARD. ,Brian1212,304,-0:11:11
161,This is so strong. I'm so proud of you standing up for your rights,Brian1212,305,-24:21:30
162,I'm so sick of the police. They are dirt. ,TimBJenkins,401,-02:36:17
163,Hahah peaceful protests never work!! We need to fight properly. This is friggin awesome,TimBJenkins,402,-31:11:12
164,An eye for an eye!!! If they are gonna abuse us and abuse their position then we'll fight em back,Sharon111,403,-00:27:21
165,"I absolute hate these vile police officiers. Back in my day police were there to protect us, now look at them. THUGS",KeithWayson,404,-4:33:26
166,This is so good. ,Sharon111,405,-0:26:28
167,Yessss! More grafitti! Make the banks suffer!,Grant13,200,-00:10:32
168,Peaceful protests in inconvenient places are the best. You've gone straight to the heart of government with this one. Love it. ,GA_66,201,-02:56:18
169,This is so disruptive. No one will listen to you unless you organise protests through the proper channels. This is just disruptive and annoying. ,cavsforever,201,-01:18:03
170,We've got the media talking though havent we? ,FrankieL,201,-00:35:51
171,Love this disruption. You're so brave all of you and I hate how the media makes out like you're a nuisance. YOU ARE FIGHTING FOR OUR FUTURES!!!!,StanleyRedmond333,202,-17:51:13
172,I read about this protest in the news. It was unplanned right?,EmmaSmith0214,203,-00:36:45
173,Yeah we just showed up with 800 people and caused chaos - peacefully of course ;) ,OliviaChilds,203,-00:32:31
174,Would have been good to let the police know in advance?? The emergency services couldn’t get to emergencies because of this childishness!,EmmaSmith0214,203,-00:13:23
175,Not all boomers!!! You have my full support ,Grant13,204,-01:23:42
176,This is beautiful. I love it. ,jupiterpride,205,-1:00:37
177,You caused so much disruption just by sitting on London Bridge! I was so impressed!!,mariaann,206,-5:41:13
178,So sick of these losers. Get a job!!!,M.Kapadia92,206,-2:37:42
179,Should you not be at work? ,M.Kapadia92,207,-0:59:31
180,Hope you got arrested for this. ,PatelS,208,-5:03:41
181,What did this even achieve?,DonDonDonna,209,-00:00:36
182,Chaos ahahaha,OliviaChilds,209,00:00:05
183,idiots,LucieLoo,210,-04:37:12
184,He is a national treasure!!! What a hero.,GA_66,211,-4:16:42
185,This is just so irresponsible. ,KatieeeM,213,-15:51:39
186,I can't believe the police arrested you for this. ,Gemma<3,215,-3:14:31
187,Tbh it was worth it. They'll look back on this in the future and see we were on the right side of history. ,FrankieL,215,-1:02:35
188,This is genuinely appalling. She wasn't do anything other than holding up a sign and expressing her view. The police are just out of control. We need to stop them.,caffeinated,216,-0:17:12
